expresar_ideas,buen_oyente,trabajo_equipo,rol_equipo,importancia_colaboracion,reaccion_problemas,nuevas_soluciones,adaptacion,aprender_nuevas_herramientas,manejo_tiempo,efectividad_tiempo,cuestionar_informacion,evaluar_puntos_vista
Poco cómodo,"No, me cuesta prestar atención",Poco cómodo,Seguidor,Poco importante,Me rindo fácilmente,Muy frecuentemente,Muy difícil,Incomodo,Planifico con antelación y sigo mi plan,Efectivo,Siempre,Incomodo
Cómodo,"Sí, siempre",Incomodo,Seguidor,Importante,Busco soluciones inmediatamente,Raramente,Muy fácil,Interesado,Trabajo sin mucha planificación,Ineficiente,Algunas veces,Cómodo
Poco cómodo,"Sí, siempre",Muy cómodo,No tengo una preferencia clara,No es importante,Busco soluciones inmediatamente,Ocasionalmente,Fácil,Neutral,Trabajo sin mucha planificación,Muy efectivo,Frecuentemente,Incomodo
Muy cómodo,"No, me cuesta prestar atención",Muy cómodo,No tengo una preferencia clara,Importante,Me siento frustrado pero lo intento,Raramente,Muy fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Algunas veces,Poco cómodo
Poco cómodo,"Sí, siempre",Muy cómodo,Seguidor,No es importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy difícil,Incomodo,Planifico con antelación y sigo mi plan,Ineficiente,Algunas veces,Incomodo
Muy cómodo,Generalmente sí,Cómodo,Facilitador,Muy importante,Busco soluciones inmediatamente,Frecuentemente,Muy difícil,Neutral,Planifico con antelación y sigo mi plan,Muy efectivo,Algunas veces,Incomodo
Incomodo,A veces,Incomodo,No tengo una preferencia clara,Importante,Me rindo fácilmente,Ocasionalmente,Fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Efectivo,Siempre,Cómodo
Poco cómodo,Generalmente sí,Incomodo,No tengo una preferencia clara,Muy importante,Pido ayuda,Ocasionalmente,Muy fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Muy efectivo,Raramente,Muy cómodo
Muy cómodo,A veces,Poco cómodo,Seguidor,No es importante,Me rindo fácilmente,Muy frecuentemente,Difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Ineficiente,Frecuentemente,Muy cómodo
Muy cómodo,"No, me cuesta prestar atención",Cómodo,Facilitador,Importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy fácil,Neutral,Planifico con antelación y sigo mi plan,Muy efectivo,Raramente,Poco cómodo
Incomodo,"Sí, siempre",Muy cómodo,Seguidor,No es importante,Pido ayuda,Frecuentemente,Muy difícil,Incomodo,Trabajo sin mucha planificación,Poco efectivo,Raramente,Cómodo
Muy cómodo,Generalmente sí,Incomodo,Facilitador,Importante,Me rindo fácilmente,Muy frecuentemente,Difícil,Neutral,Trabajo sin mucha planificación,Poco efectivo,Frecuentemente,Muy cómodo
Incomodo,"Sí, siempre",Incomodo,No tengo una preferencia clara,No es importante,Busco soluciones inmediatamente,Ocasionalmente,Muy difícil,Neutral,Trabajo sin mucha planificación,Muy efectivo,Raramente,Poco cómodo
Cómodo,Generalmente sí,Incomodo,Seguidor,No es importante,Pido ayuda,Frecuentemente,Difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Raramente,Incomodo
Incomodo,"No, me cuesta prestar atención",Incomodo,Líder,No es importante,Busco soluciones inmediatamente,Frecuentemente,Muy fácil,Incomodo,"Intento planificar, pero a veces me retraso",Muy efectivo,Siempre,Cómodo
Incomodo,Generalmente sí,Poco cómodo,Seguidor,Importante,Busco soluciones inmediatamente,Raramente,Muy difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Efectivo,Siempre,Incomodo
Poco cómodo,"Sí, siempre",Incomodo,Facilitador,Muy importante,Me rindo fácilmente,Raramente,Fácil,Interesado,"Intento planificar, pero a veces me retraso",Poco efectivo,Frecuentemente,Incomodo
Poco cómodo,A veces,Muy cómodo,Líder,Importante,Busco soluciones inmediatamente,Raramente,Fácil,Neutral,Trabajo sin mucha planificación,Poco efectivo,Algunas veces,Muy cómodo
Poco cómodo,Generalmente sí,Poco cómodo,Seguidor,Importante,Pido ayuda,Muy frecuentemente,Difícil,Interesado,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Muy cómodo
Muy cómodo,A veces,Poco cómodo,Líder,No es importante,Me rindo fácilmente,Frecuentemente,Muy fácil,Neutral,"Intento planificar, pero a veces me retraso",Ineficiente,Siempre,Incomodo
Muy cómodo,"Sí, siempre",Incomodo,Facilitador,Poco importante,Pido ayuda,Raramente,Muy fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Ineficiente,Raramente,Muy cómodo
Incomodo,"No, me cuesta prestar atención",Muy cómodo,Líder,Poco importante,Me siento frustrado pero lo intento,Raramente,Muy fácil,Incomodo,Trabajo sin mucha planificación,Poco efectivo,Siempre,Incomodo
Cómodo,"Sí, siempre",Incomodo,No tengo una preferencia clara,No es importante,Busco soluciones inmediatamente,Ocasionalmente,Muy difícil,Neutral,"Intento planificar, pero a veces me retraso",Poco efectivo,Siempre,Muy cómodo
Incomodo,Generalmente sí,Cómodo,Líder,No es importante,Me rindo fácilmente,Frecuentemente,Muy difícil,Interesado,Trabajo sin mucha planificación,Muy efectivo,Frecuentemente,Incomodo
Muy cómodo,"Sí, siempre",Cómodo,Líder,Importante,Me siento frustrado pero lo intento,Muy frecuentemente,Difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Raramente,Cómodo
Cómodo,"No, me cuesta prestar atención",Poco cómodo,Líder,Muy importante,Pido ayuda,Raramente,Difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Frecuentemente,Poco cómodo
